Tirana 's national library has three copies of the " Book of Mass ' . "	S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O
( Apr 30 ) ( Jan 11 )	O O O O O O O O
F.C. National Bucharest 4 2 1 1 7 6 7	O O O O O O O O O O
Against this background , Hope said the group was glad it had rationalised and destocked even though this had pressed margins , which had slipped to 9.5 percent from 11.3 percent a year ago .	O O O O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Lebed may be be finding that closing that political gap between the two sides is more difficult than just ending a war .	S-PER O O O O O O O O O O O O O O O O O O O O O O
Newspapers 363 49 295 46	O O O O O
Sweden 's OM to open London forest products bourse .	S-LOC O O O O S-LOC O O O O
A Turkish airliner on flight from Istanbul to Vienna on Wednesday landed in emergency at Sofia airport after receiving a bomb threat , said an airport official .	O S-MISC O O O O S-LOC O S-LOC O O O O O O S-LOC O O O O O O O O O O O O
- Investment Minister Asif Ali Zardari expressed keenness for a close working relationship with Japanese companies so that investment from Japan can multiply.q	O O O B-PER I-PER E-PER O O O O O O O O S-MISC O O O O O S-LOC O O
Chiron makes Betaseron ; Berlex markets it , he said .	O O S-MISC O O O O O O O O
---	O
France hands suspected ETA member to Spain .	S-LOC O O O O O S-LOC O
Internacional 4 1 2 1 4 3 5	O O O O O O O O
World number one Pete Sampras , seeking his first Grand Slam title of the year , and women 's top seed Steffi Graf , aiming for her third , should be able to ease into the year 's final major , which begins on Monday .	O O O B-PER E-PER O O O O B-MISC E-MISC O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O
2. Scott McGrory - Stephen Pate ( Australia ) 25	O B-PER E-PER O B-PER E-PER O S-LOC O O
Iron Gippsland - ( built 1989 ) 87,241 dwt sold to Greek buyers for $ 30 million .	B-MISC E-MISC O O O O O O O O O S-MISC O O O O O O
there 's really no reason to change our forecast and our largely positive view on the stock . "	O O O O O O O O O O O O O O O O O O O
time of 55 minutes 47.4 seconds	O O O O O O
Attendance : 6,500	O O O
Israel 's Channel Two television said Damascus had sent a " calming signal " to Israel .	S-LOC O O O O O S-LOC O O O O O O O O S-LOC O
Jailed Socialist leader Fatos Nano made the first call for change in July , a month after the party 's chief opponents , the conservative Democrats of President Sali Berisha , almost swept the board in a disputed general election .	O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O S-MISC O O B-PER E-PER O O O O O O O O O O O
British Jewish groups have also voiced protest because they said Palestinian Islamist Hamas as well as the banned Algerian Islamic Salvation Front ( FIS ) are among those radical Islamists attending the conference .	B-MISC E-MISC O O O O O O O O B-MISC E-MISC O O O O O O S-MISC O O O O O O O O O O S-MISC O O O O
Several other items have been reported found along the New Jersey shore , most of it such personal items as wallets , shoes and jewelry .	O O O O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O
South African fast bowler Shaun Pollock concluded his Warwickshire career with a flourish on Sunday by taking the final three wickets during the county 's Sunday league victory over Worcestershire .	B-MISC E-MISC O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O
Bochum 1 ( Jack 66th minute ) Arminia Bielefeld 1 ( Molata 59th ) .	O O O S-PER O O O O O O O S-PER O O O
Blackburn 3 0 1 2 2 5 1	O O O O O O O O
3. Fiona May ( Italy ) 6.64	O B-PER E-PER O S-LOC O O
CYCLING - SORENSEN WINS FOURTH STAGE OF TOUR OF NETHERLANDS .	O O S-PER O O O O B-MISC I-MISC E-MISC O
Trailing by a run entering the 11th , the Orioles rallied against Oakland reliever Mark Acre ( 0-2 ) with a walk and a triple by Brady Anderson to tie the game .	O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O B-PER E-PER O O O O O
The former Wimbledon champion said the immediate future of Australia 's Davis Cup coach Tony Roche could also be determined by events in Split .	O O S-MISC O O O O O O S-LOC O B-MISC E-MISC O B-PER E-PER O O O O O O O S-LOC O
In line with the decree , which will come into force on November 1 , all Russian barter traders will be obliged to import goods worth the cost of their exports within 180 days .	O O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O
We can neither confirm nor deny that report , " he said .	O O O O O O O O O O O O O
Gary Orr , Jose-Maria Canizares ( Spain ) , Michael Jonzon	B-PER E-PER O B-PER E-PER O S-LOC O O B-PER E-PER
Canada 's ministry of foreign affairs in Ottawa had no immediate comment on the report .	S-LOC O O O O O O S-LOC O O O O O O O O
+3 Anders Forsbrand ( Sweden ) through 5	O B-PER E-PER O S-LOC O O O
26. Finland 8.09	O S-LOC O
Next on the agenda for these firms is developing a new compensation structure , and 78 percent report that they are considering a new , skills-based plan for both management and non-management employees .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" It 's a possibility , not a probability , he may take a hostage , but we have measures in place if that is the case . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Atherton 7 1 20 1 20.00	S-PER O O O O O
Mhow 2 Yellow 12,700-12,800 12,750-12,850	S-LOC O O O O
RICHMOND , Va .	S-LOC O S-LOC O
AMSTERDAM 1996-08-24	S-LOC O
" Things fell in for us , " said Sorrento , who has six career grand slams and hit the ninth of the season for the Mariners .	O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O
CHICAGO 69 59 .539 7 1/2	O O O O O O
Germany and Poland agreed on Friday to tighten cooperation between their intelligence services in fighting international organised crime , PAP news agency reported .	S-LOC O S-LOC O O O O O O O O O O O O O O O O O O O O O
Linzer ASK 5 0 3 2 4 8 3	O O O O O O O O O
Women 's singles	O O O
Kevorkian 's lawyer , Geoffrey Fieger , said those attending Smith 's death included her husband , David , a police officer , her father , James Poland , and Kevorkian .	S-PER O O O B-PER E-PER O O O O S-PER O O O O O O S-PER O O O O O O O O B-PER E-PER O O S-PER O
No further details were immediately available .	O O O O O O O
Antwerp 4 2 0 2 6 10 6	O O O O O O O O
Rating Announcement As of 08/21/96 .	O O O O O O
Haitai 10 Hanwha 4	O O O O
1. Frankie Fredericks ( Namibia ) 19.92 seconds	O B-PER E-PER O S-LOC O O O
Judith Crosson	B-PER E-PER
LAST SALE : $ 7,330,000 ( MBIA ) 3/1/90 @ 6.14900 % NIC ; 4yrs 4mos Avg ; BBI-7.27 %	O O O O O O O O O O O O O O O O O O O O
Wasim Akram 128 29 350 11 31.81	B-PER E-PER O O O O O
The dollar was at 108.40 yen and 1.4765 marks compared with Tuesday 's European close of 107.78 yen and 1.4779 marks	O O O O O O O O O O O O O S-MISC O O O O O O O
ND PARTY PICKS SPOT THOMSON , BOLD / OGILVY , MATHER FOR AD CAMPAIGN .	O O O B-PER E-PER O O O O O O O O O O
About 54 people have died in Maoist insurgent activity and in police action against them since February , officials said .	O O O O O O S-MISC O O O O O O O O O O O O O O
Distances : a short head , 1-1/4 lengths .	O O O O O O O O O
The 58-year-old Claverie was killed in August 1 in a bomb blast at his residence in the western Algerian city of Oran , hours after he met visiting French Foreign Minister Herve de Charette in Algiers .	O O S-PER O O O O O O O O O O O O O O O S-MISC O O S-LOC O O O O O O S-MISC O O B-PER I-PER E-PER O S-LOC O
4. Jarmo Kytolehto ( Finland ) Ford Escort 2:23	O B-PER E-PER O S-LOC O B-MISC E-MISC O
Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .	O O O O O O O O O O O O O O O
5. Mette Bergmann ( Norway ) 61.44	O B-PER E-PER O S-LOC O O
LONDON 1996-08-26	S-LOC O
Last month Five Nations ' committee chairman Tom Kiernan said England would be thrown out of the competition " unless circumstances change in the near future " .	O O B-MISC E-MISC O O O B-PER E-PER O S-LOC O O O O O O O O O O O O O O O O O
Even though more than 40 million copies of Windows 95 have been sold , making it the fastest-selling new software ever , it would have been impossible for any product to live up to the unprecedented hype of the Aug. 24 , 1995 launch , when stores around the world opened at midnight to greet long lines of customers .	O O O O O O O O B-MISC E-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In Paris , the CAC-40 share index finished down 2.43 at 2,017.99 .	O S-LOC O O S-MISC O O O O O O O O
That , and the fact he is only a few hours drive away , influenced my decision to come to Aberdeen . "	O O O O O O O O O O O O O O O O O O O O O O O
14 - Barbara Paulus ( Austria ) beat Yi Jing-Qian ( China ) 6-2 6-1	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
A strong set of interim results and an upbeat outlook from Slough Estates Plc helped to boost the property sector on Thursday .	O O O O O O O O O O O O O O O O O O O O O O O
Anna Kournikova ( Russia ) beat Ludmila Richterova ( Czech Republic ) 7-6 ( 7-4 ) 6-3	B-PER E-PER O S-LOC O O B-PER E-PER O B-LOC E-LOC O O O O O O
Slask Wroclaw 7 3 1 3 8 7 10	O O O O O O O O O
The virus , which also was altered to minimise its susceptibility to the immune system , was then injected into the muscle cells of mice bred to lack dystrophin genes .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
India has often accused Pakistan of abetting militancy in the valley , a charge Islamabad has always denied .	S-LOC O O O S-LOC O O O O O O O O O S-LOC O O O O
COLORADO 70 64 .522 4	O O O O O
The next year a close friend was struck by a stray bullet while riding home in a car from a soccer game in Sao Paulo .	O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O
Chad parliamentary election set for November 24 .	S-LOC O O O O O O O
India ACC Apr-Jul ' 96 sales , output up .	S-LOC O O O O O O O O O
SQUASH - HONG KONG OPEN FIRST ROUND RESULTS .	O O B-MISC I-MISC E-MISC O O O O
" Under the law before launching the strike we have to sign an agreement with our employer for a minimal transport servicing of emergency flights , " Raichev said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O
1. Mariacarla Bresciani ( Italy ) 3.85 metres	O B-PER E-PER O S-LOC O O O
For the first time , the Democratic Party has included in our platform a conscience clause , " he said .	O O O O O O O O O O O O O O O O O O O O O
Philadelphia 6 LOS ANGELES 0	O O O O O
Paul Haarhuis ( Netherlands ) vs. Michael Joyce ( U.S. )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
" I believe relations between the two teams will be excellent , " Batterby said .	O O O O O O O O O O O O O S-PER O O
It quoted an Interior Ministry statement as saying Shabir Ahmad Muhammad Jalil was executed in Mecca .	O O O O O O O O B-PER I-PER I-PER E-PER O O O S-LOC O
Dutch coach Guus Hiddink called in Feyenoord midfielder Giovanni van Bronckhorst and Vitesse defender Ferdy Vierklau for Cocu and Veldman , but did not name a replacement for midfielder Witschge .	S-MISC O B-PER E-PER O O O O B-PER I-PER E-PER O O O B-PER E-PER O S-PER O S-PER O O O O O O O O O S-PER O
LONDON 1996-08-24	S-LOC O
Women 's singles	O O O
8. Belarus 8.39	O S-LOC O
The curtain-raising victories by Hingis and Olsza provided a ringing endorsement for the newest wave of women 's players coming up from the junior ranks .	O O O O S-PER O S-PER O O O O O O O O O O O O O O O O O O O
At Worcester : Warwickshire 310 ( A. Giles 83 , T. Munton 54 not	O S-LOC O O O O B-PER E-PER O O B-PER E-PER O O
Talking about the cement industry in general , Palkhivala said Indian production rose by about 10 percent in 1995/96 .	O O O O O O O O S-PER O S-MISC O O O O O O O O O
LAGOS 1996-08-29	S-LOC O
From central Texas north to Kansas , rains throughout July and August have relieved most of the drought conditions that plagued the region earlier this year .	O O S-LOC O O S-LOC O O O O O O O O O O O O O O O O O O O O O
Monday :	O O
Prime Minister H.D. Deve Gowda 's centre-left government hopes the elections will help restore normality and democratic rule in Jammu and Kashmir , where more than 20,000 people have died in insurgency-related violence since 1990 .	O O B-PER I-PER E-PER O O O O O O O O O O O O O O S-LOC O S-LOC O O O O O O O O O O O O O O
2. Falilat Ogunkoya ( Nigeria ) 22.58	O B-PER E-PER O S-LOC O O
Sydney 21 15 1 5 2067 1687 122.5 62	O O O O O O O O O
The king will visit Chongqing before arriving in the Chinese capital , Beijing , early next week , officials said .	O O O O S-LOC O O O O S-MISC O O S-LOC O O O O O O O O
Leicester : Somerset 83 ( D. Millns 4-35 ) , Leicestershire 202-5	S-LOC O O O O B-PER E-PER O O O O O
Health officials said the surgeon told authorities he stored the foot in his freezer at home , but the freezer recently broke down and the contents spoiled .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
WESTERN DIVISION	B-MISC E-MISC
Specter said after the bombing there should be a shake-up at the Pentagon and questioned whether Perry should resign .	S-PER O O O O O O O O O O O O O O O S-PER O O O
3. Andrea Giaconi ( Italy ) 13.80	O B-PER E-PER O S-LOC O O
Lens 3 Montpellier 2	O O O O
DETROIT 45 82 .354 27 1/2	O O O O O O
He will , however , have to do without the Dortmund trio of libero Matthias Sammer , midfielder Steffen Freund and defender Rene Schneider , who were all formally nominated despite being injured .	O O O O O O O O O O O O O O B-PER E-PER O O B-PER E-PER O O B-PER E-PER O O O O O O O O O O
Second test : Headingley - Drawn	O O O S-LOC O O
Former world champion Lance Armstrong of the United States was in front as the leading pack of seven riders turned into the Oerlikon velodrome for the final one lap sprint but quickly faded and settled for fourth .	O O O B-PER E-PER O O B-LOC E-LOC O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O
118 , A. Cottey 70 ) .	O O B-PER E-PER O O O
At Headingley : Yorkshire 529-8 declared ( C. White 181 ,	O S-LOC O O O O O B-PER E-PER O O
All passengers held hostage aboard a hijacked Sudanese Airways plane diverted to London 's Stansted airport carrying 199 passengers and crew have been freed , an airport spokeswoman said on Tuesday .	O O O O O O O S-MISC O O O O S-LOC O S-LOC O O O O O O O O O O O O O O O O O
U.S. lauds Russian-Chechen deal .	S-LOC O S-MISC O O
F.C. La Valletta - Gilbert Agius ( 24th )	O O O O B-PER E-PER O O O
But away from their home ground , they face unfriendly crowds who taunt the players with racist abuse .	O O O O O O O O O O O O O O O O O O O
Larry Fine	B-PER E-PER
Derby 3 0 2 1 4 6 2	O O O O O O O O
Australia face Croatia in the world group qualifying tie on clay from September 20-22 .	S-LOC O S-LOC O O O O O O O O O O O O
" I promise the people of Karachi that those responsible for the extra-judicial killing of innocent youths would not be spared , " Sharif said .	O O O O O O S-LOC O O O O O O O O O O O O O O O O S-PER O O
Jones has a knee injury while Wilson is suffering from a viral infection .	S-PER O O O O O S-PER O O O O O O O
Second race	O O
The ministry had raised 2.3 billion guilders from sales of the new bond by the close of trade on Wednesday .	O O O O O O O O O O O O O O O O O O O O O
Six Months Ended Quarter Ended	O O O O O
-- Julie Tolkacheva , Moscow Newsroom , +7095 941 8520	O B-PER E-PER O O O O O O O
S.AFRICAN TRUTH BODY TO SUMMON APARTHEID POLICE .	S-MISC O O O O O O O
- Japan is importing 80 percent of cotton yarn from Pakistan every year .	O S-LOC O O O O O O O O S-LOC O O O
Espinho 1 Sporting 3	O O O O
Egypt blames Istanbul control tower for accident .	S-LOC O S-LOC O O O O O
Thieves stole almost 2,000 Irish pounds ( $ 3,000 ) from the officers ' canteen of a Limerick jail on Thursday while warders slept in a room upstairs .	O O O O S-MISC O O O O O O O O O O O O S-LOC O O O O O O O O O O O
The Bank of France said it allocated 13.4 billion francs to bidders offering Treasury bills as collateral , satisfying 3.4 percent of such demand .	O O O O O O O O O O O O O O O O O O O O O O O O O
9. Worku Bekila ( Ethiopia ) 28.42.23	O B-PER E-PER O S-LOC O O
MOTOR RACING - BELGIAN GRAND PRIX RESULT .	O O O B-MISC I-MISC E-MISC O O
Grasshopper 2 Lucerne 2	O O O O
6-4	O
MINNESOTA 66 66 .500 13	O O O O O
Wycombe 1 Gillingham 1	O O O O
Major League Baseball	B-MISC I-MISC E-MISC
Bordeaux 3 1 2 0 2 1 5	O O O O O O O O
SAN FRANCISCO 57 74 .435 15 1/2	O O O O O O O
Ajax Amsterdam 2 1 0 1 1 2 3	O O O O O O O O O
qualifying on Saturday :	O O O O
If more than one	O O O O
At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,	O S-LOC O O O O B-PER E-PER O O O O
Results of South Korean	O O B-MISC E-MISC
GOLF - BRITISH MASTERS THIRD ROUND SCORES .	O O B-MISC E-MISC O O O O
-- Jerry Bieszk 312-408-8725	O B-PER E-PER O
Standings after games played on Wednesday ( tabulate under	O O O O O O O O O
Belgian police searched two more houses on Saturday for bodies in a child-sex scandal of murder , kidnapping and pornography that has sent a shockwave of revulsion throughout Europe .	S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O
" There are people who are taking advantage of the news to put pressure on rates , however , there are enough players who will buy and that will keep rates from rising too much , " said one dealer .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Brann 19 8 5 6 40 37 29	O O O O O O O O
Mosenergo closed at at $ 0.958 after $ 0.966 , Rostelekom fell to $ 2.56 from $ 2.58 and LUKoil was $ 9.82 after $ 9.85 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
PRAGUE 1996-08-26	S-LOC O
Men 's singles , first round	O O O O O O
winning percentage , games behind first place )	O O O O O O O O
SOCCER - THOMSON RESIGNS AS MANAGER OF RAITH ROVERS .	O O S-PER O O O O O O O
A forensic scientist who examined the supposed skull of 19th century King Hintsa , a chief of President Nelson Mandela 's Xhosa tribe killed in battle by the British , said it was in fact the cranium of a European woman .	O O O O O O O O O O O O S-PER O O O O O B-PER E-PER O S-MISC O O O O O O S-MISC O O O O O O O O O O S-MISC O O
" It seems that from across the border there is going to be a planned attempt to disrupt the elections , " Inderjit Gupta told reporters in the state capital Srinagar .	O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O S-LOC O
Maruyama ( Japan )	S-PER O S-LOC O
Kimberly Po ( U.S. ) beat 10 - Kimiko Date ( Japan ) 6-2 7-5	B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O O O
An Iraqi Kurdish guerrilla group on Saturday accused Iraqi government forces of killing two civilians in shelling in northern Iraq , the Iranian news agency IRNA reported .	O B-MISC E-MISC O O O O O S-MISC O O O O O O O O O O S-LOC O O S-MISC O O O O O
Keirin final	S-LOC O
DETROIT 44 82 .349 28 1/2	O O O O O O
( in tonnes )	O O O O
Western Reds 21 6 1 14 297 398 13	O O O O O O O O O
2. Kocinski 38:19.313	O S-PER O
" I feel that we made it a little easy for the USTA .	O O O O O O O O O O O O O O
CHILLICOTHE , Ohio 1996-08-25	S-LOC O S-LOC O
CHICAGO 63 64 .496 4 1/2	O O O O O O
Under the reorganisation plan , Lloyd 's plans to reinsure its massive liabilities into a new company called Equitas .	O O O O O O O O O O O O O O O O O O O O
SOYBEAN SALES - The Taichung division of Taiwan 's Breakfast Soybean Procurement Assn bought 108,000 tonnes of U.S. soybeans .	O O O O O O O S-LOC O O O O O O O O O S-LOC O O
Adrian Warner	B-PER E-PER
MANAGUA , Nicaragua 1996-08-23	S-LOC O S-LOC O
Raphael Lapke , publication director of Ivorian newspaper Le Populaire , was taken in for questioning on Monday over an article about the public prosecutor and has been detained since then .	B-PER E-PER O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
KARACHI , Pakistan 1996-08-28	S-LOC O S-LOC O
" But there are so many reasons to play , especially spectators and the kids who come out here and want to enjoy watching tennis , that I decided to stay . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Thursday :	O O
But she said more had to be done .	O O O O O O O O O
" On Friday , all Moslems , including Palestinians in Israel ...	O O O O O S-MISC O O S-MISC O S-LOC O
Gaston Taument scored twice and newly signed Argentine Pablo Sanchez once in Feyenoord Rotterdam 's 3-0 victory over Volendam .	B-PER E-PER O O O O O S-MISC B-PER E-PER O O O O O O O O O O
NAC Breda 2 1 0 1 1 1 3	O O O O O O O O O
WASHINGTON 1996-08-23	S-LOC O
In Boston , former Mariner Darren Bragg 's first career grand slam in the sixth inning off reliever Randy Johnson lifted the Boston Red Sox to their fifth win in six games , a 9-5 victory over Seattle .	O S-LOC O O B-PER I-PER E-PER O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O S-LOC O
2 - Miladin Becanovic ( Lille ) , Enzo Scifo ( Monaco ) ,	O O B-PER E-PER O O O O B-PER E-PER O O O O
Crewe v Watford , Gillingham v Chesterfield , Luton v Rotherham ,	O O O O O O O O O O O O
4. El Hassane Lahssini ( Morocco ) 7:32.44	O B-PER I-PER E-PER O S-LOC O O
OB 40 6 60 .406 21 1/2	O O O O O O O
CRICKET - AUSTRALIA 263-7 IN 50 OVERS V ZIMBABWE .	O O S-LOC O O O O O S-LOC O
Davenport had drawn one of the toughest first-round assignments of any of the seeded players in 17th-ranked Karina Habsudova of Slovakia .	S-PER O O O O O O O O O O O O O O O O B-PER E-PER O S-LOC O
of Japanese rider Noriyuki Haga for using an illegal carburettor	O S-MISC O B-PER E-PER O O O O O
won , drawn , lost , goals for , goals against , points ) :	O O O O O O O O O O O O O O O
22,500	O
Baghdad holds that the Iraq-U.N. memorandum of understanding on partial oil sales signed last June does not specify how many foreign observers should be stationed in Iraq .	S-LOC O O O S-MISC O O O O O O O O O O O O O O O O O O O O O S-LOC O
Two players have withdrawn from the Republic of Ireland squad for the 1998 World Cup qualifying match against Liechenstein on August 31 , the Football Association of Ireland said in a statement on Friday .	O O O O O O B-LOC I-LOC E-LOC O O O O B-MISC E-MISC O O O S-LOC O O O O O O O O O O O O O O O O
Cooper	S-PER
277 Duffy Waldorf 70 70 71 66 , Steve Stricker 68 72 69 68 ,	O B-PER E-PER O O O O O B-PER E-PER O O O O O
SOCCER - ENGLISH LEAGUE RESULTS .	O O S-MISC O O O
German carmaker Volkswagen AG said on Wednesday that it expected group net profit to double in the third quarter .	S-MISC O O O O O O O O O O O O O O O O O O O
Attendance not given .	O O O O
Sydney Bulldogs 21 10 0 11 325 356 20	O O O O O O O O O
Tracy is the great-granddaughter of Democratic former President Franklin Roosevelt , and support for Democrats runs in the family .	S-PER O O O O S-MISC O O B-LOC E-LOC O O O O S-MISC O O O O O
Tim Henman ( Britain ) beat Chris Woodruff ( U.S. ) , walkover	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Extras ( nb-8 ) 8	O O O O O
SYDNEY 1996-08-28	S-LOC O
LONDON 1996-08-30	S-LOC O
Cincinnati 3 ATLANTA 2 ( in 13 )	O O O O O O O O
Albania 's opposition Socialist Party began a two-day congress on Saturday to discuss major jettisoning its links with almost half a century of Stalinist dictatorship in the Balkan country .	S-LOC O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O S-LOC O O
my understanding of the marketplace is that they 're below expectations . "	O O O O O O O O O O O O O
Meri 's popularity has suffered in recent years , with politicians criticising him for taking too much power and acting without consulting parliament .	S-PER O O O O O O O O O O O O O O O O O O O O O O O
3. Bartoli 108	O S-PER O
Toronto 6 KANSAS CITY 2	O O O O O
" They rammed our shacks with jeeps and destroyed the shack over my baby , " said 25-year-old Amina Muhammad . "	O O O O O O O O O O O O O O O O O O B-PER E-PER O O
LG 44 5 57 .439 18	O O O O O O
Volume was estimated at 8,000 lots .	O O O O O O O
Neemuch n.a Yellow - -	S-LOC O O O O
8 - Lindsay Davenport ( U.S. ) beat Adriana Serra-Zanetti ( Italy ) 6 - 2 6-1	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O
NOVYE ATAGI , Russia 1996-08-22	B-LOC E-LOC O S-LOC O
Played Friday :	O O O
Gold fixed at $ 388.50 versus Tuesday 's London close of $ 388.55 .	O O O O O O O O S-LOC O O O O O
FLORIDA 58 69 .457 22	O O O O O
ATLANTA 1996-08-25	S-LOC O
Nice are 18th in the table .	O O O O O O O
Then we 'll see if Arantxa will be there , too . "	O O O O O S-PER O O O O O O O
The Republican Party , whose platform calls for making all abortions illegal , faced a similar dilemma this year when Massachusetts Gov .	O O O O O O O O O O O O O O O O O O O O S-LOC O O
Some Moslem refugees among the 385 registered voters Hungary 's largest camp Nagyatad have written to the OSCE complaining that they were unable to vote in contests for the president or assembly of the Bosnian-Croat Federation , where most Moslems live .	O S-MISC O O O O O O S-LOC O O O S-LOC O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O S-MISC O O
W L PCT GB	O O O O
15. Pedro Diniz ( Brazil ) Ligier 22	O B-PER E-PER O S-LOC O O O
LISTING DDF FFT STG MIN EXER LOT 100	O O O O O O O O
Gujral said he did not expect India 's veto of the Comprehensive Test Ban Treaty ( CTBT ) to damage bilateral ties with other nations .	S-PER O O O O O S-LOC O O O O B-MISC I-MISC I-MISC E-MISC O S-MISC O O O O O O O O O
French shares ended fractionally weaker as unease about union unrest slated for the autumn and a weaker franc got the better of a slight rise on Wall Street .	S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O
" Chemical products " came next with a 13 percent share , then " transport materials " with nine percent , and finally foods , drinks and tobacco with 6.3 percent .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
TOKYO 1996-08-22	S-LOC O
8. Bart Voskamp ( Netherlands ) TVM 53	O B-PER E-PER O S-LOC O O O
Sheffield United 4 Birmingham 4	O O O O O
At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .	O O O O O O O O O O S-MISC O O S-LOC O O O O O O O O O O O O O O O O O O
Yorkshire 11 points , Lancashire 8 .	O O O O O O O
0515 GMT	O S-MISC
Mostostal Z shareholders approve bonds .	O O O O O O
LKS Lodz 7 0 2 5 4 13 2	O O O O O O O O O
4. Sven Teutenberg ( Germany ) US Postal	O B-PER E-PER O S-LOC O O O
OAKLAND 63 70 .474 13	O O O O O
2 - Ong Ewe Hock ( Malaysia ) beat 5/8 - Hu Zhilan ( China ) 15-2 15-10	O O B-PER I-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O O O
The following is the result of central bank securities ( SBPUs ) auction on Tuesday at 0800 GMT :	O O O O O O O O O O O O O O O O O S-MISC O
Samper -- who weathered a year-old crisis stemming from charges he financed his 1994 election campaign with drug money -- appeared less than enthusiastic , however .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O
The 35-year-old Blind , who won 42 caps for the Netherlands , said he wanted to concentrate on playing for his Dutch club Ajax Amsterdam .	O O S-PER O O O O O O O S-LOC O O O O O O O O O O S-MISC O O O O
Qualifiers for Wednesday evening 's quarter-finals :	O O O O O O O
Results of Swiss premier division	O O S-MISC O O
LONDON 1996-08-28	S-LOC O
Pinas , showing cuts and bruises on his face , told reporters the former head of the feared Jungle Command had tried and failed to shoot him after Pinas objected to Brunswijk 's advances toward his wife .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O S-PER O O O O O O
( 80th )	O O O
goals for , goals against , points ) .	O O O O O O O O O
Revenue from other services ( Dm million ) 14 down 26 pct	O O O O O S-MISC O O O O O O
Martin Damm ( Czech Republic ) vs. Hernan Gumy ( Argentina )	B-PER E-PER O B-LOC E-LOC O O B-PER E-PER O S-LOC O
Results on the final day of	O O O O O O
5-0-24-0 .	O O
Individuals with the disease have a non-working version of a gene responsible for producing a crucial muscle protein called dystrophin .	O O O O O O O O O O O O O O O O O O O O O
" I do n't see that possibility because India is not entering into any arms race , " he said . "	O O O O O O O O S-LOC O O O O O O O O O O O O O
1. Regina Jacobs ( U.S. ) 4 minutes 01.77 seconds	O B-PER E-PER O S-LOC O O O O O
More than 600,000 refugees have registered to vote in 55 countries around the world , representing about 20 per cent of Bosnia 's total electorate .	O O O O O O O O O O O O O O O O O O O O O S-LOC O O O O
To bat : R. Croft , D. Cork , A. Mullally	O O O B-PER E-PER O B-PER E-PER O B-PER E-PER
CAIRO 1996-08-26	S-LOC O
Japan coalition party leader plans to resign .	S-LOC O O O O O O O
1-2 .	O O
The cause of the crash of the helicopter , which went down on Sunday while on a routine resupply flight between Phnom Penh and Stung Treng , was not known .	O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O B-LOC E-LOC O O O O O
7-6 ( 7-4 ) 7-5	O O O O O
4. Herve Thuet ( France ) 1:04.732	O B-PER E-PER O S-LOC O O
