S. Korea Daewoo , Dacom units in Polish telecom JV .	B-LOC E-LOC S-ORG O S-ORG O O S-MISC O O O
England first innings 326 ( J. Crawley 106 , G. Thorpe 54 ; Waqar	S-LOC O O O O B-PER E-PER O O B-PER E-PER O O S-PER
Arnaud Boetsch ( France ) vs. Nicolas Pereira ( Venezuela )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
Women 's singles , first round 1 - Steffi Graf ( Germany ) beat Yayuk Basuki ( Indonesia ) 6-3 7-6 ( 7-4 )	O O O O O O O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O
Fox initially fled from the shooting in a car , but then abandoned the car and entered dense bushland .	S-PER O O O O O O O O O O O O O O O O O O O
But the rally was short-lived and Stork ended just 0.20 up at 51.00 guilders .	O O O O O O S-ORG O O O O O O O O
The main Friday prayers in southern Jordan that were the starting point for the riots a week ago passed peacefully under tight security imposed by the army with only brief demonstrations reported .	O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O
Scunthorpe 1 Torquay 0	S-ORG O S-ORG O
FBI Director Louis Freeh , who has twice visited Saudi Arabia to seek improved cooperation with Saudi investigators , told the committee he was not entirely satisfied with Saudi cooperation on the Dhahran bomb and a previous bomb attack in Riyadh .	S-ORG O B-PER E-PER O O O O O B-LOC E-LOC O O O O O S-MISC O O O O O O O O O O O S-MISC O O O S-LOC O O O O O O O S-LOC O
King Birendra of Nepal has told China his nation will not become the tool of people who want Tibetan independence from Beijing , the official China Daily newspaper said on Saturday .	O S-PER O S-LOC O O S-LOC O O O O O O O O O O O S-MISC O O S-LOC O O O B-ORG E-ORG O O O O O
Moyer retired 11 straight batters between the third and seventh innings and threw two or fewer pitches to 11 of the 29 batters he faced .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O
They are lost forever , " said one professor .	O O O O O O O O O O
" What happened concerning continuous violations and crimes from this new Israeli leadership means they are declaring a state of war against the Palestinian people , " Arafat told the Palestinian legislature .	O O O O O O O O O O O S-MISC O O O O O O O O O O O S-MISC O O O S-PER O O S-MISC O O
South Queensland 21 4 0 17 210 460 8	B-ORG E-ORG O O O O O O O
, waterworks system mortgage revenue bonds , Series 1996 , with a true interest cost of 5.2893 percent .	O O O O O O O O O O O O O O O O O O O
Police said they found 35 metric tons of marijuana on Thursday on a ship preparing to set sail for the Netherlands from Colombia 's Caribbean port of Cartagena .	O O O O O O O O O O O O O O O O O O O O S-LOC O S-LOC O S-LOC O O S-LOC O
, suffered serious brain damage .	O O O O O O
Kieran Murray	B-PER E-PER
In Tirana : Flamurtari Vlore ( Albania ) 0 Chemlon Humenne	O S-LOC O B-ORG E-ORG O S-LOC O O B-ORG E-ORG
Anderlecht 2 Lokeren 2	S-ORG O S-ORG O
LONDON 1996-08-28	S-LOC O
Olympic silver medallist Brigita Bukovec of Slovenia could finish only fifth in the race in 12.95 .	S-MISC O O B-PER E-PER O S-LOC O O O O O O O O O O
Tarango was leading 6-7 ( 5-7 ) 6-4 6-1 3-1 .	S-PER O O O O O O O O O O
York 3 1 0 2 5 6 3	S-ORG O O O O O O O
Julie Lejeune and Melissa Russo , had been kidnapped in June last year .	B-PER E-PER O B-PER E-PER O O O O O O O O O
BASKETBALL - PHILIPPINE PRO-LEAGUE RESULTS .	O O S-MISC O O O
MIAMI 1996-08-29	S-LOC O
PITTSBURGH 55 74 .426 13 1/2	S-ORG O O O O O
LONDON 1996-08-29	S-LOC O
Saqlain Mushtaq .	B-PER E-PER O
-- Oliver Ludwig , New York Energy Desk +1 212 859 1633	O B-PER E-PER O B-ORG I-ORG I-ORG E-ORG O O O O
Attendance : 18,000	O O O
7. Ingrid Haringa ( Netherlands ) 20	O B-PER E-PER O S-LOC O O
1. William Tanui ( Kenya ) 3:54.57	O B-PER E-PER O S-LOC O O
In Houston , Jeff Bagwell homered and Donne Wall allowed one run over seven innings as the Houston Astros defeated the St. Louis Cardinals 4-1 .	O S-LOC O B-PER E-PER O O B-PER E-PER O O O O O O O O B-ORG E-ORG O O B-ORG I-ORG E-ORG O O
2:30.67 Christine Wachtel ( Germany ) Berlin 17.8.90	O B-PER E-PER O S-LOC O S-LOC O
FLORIDA 5 Cincinnati 3	S-ORG O S-ORG O
OAKLAND AT BALTIMORE	S-ORG O S-LOC
Maskhadov warned that Lebed risked the same fate as a former Russian army commander in the region who sought a compromise and was blown up last year by -- so the Chechens say -- Russian forces .	S-PER O O S-PER O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O S-MISC O O S-MISC O O
5 .	O O
EASTERN DIVISION	B-MISC E-MISC
Ealham 37 8 81 1 81.00	S-PER O O O O O
Paris 22 3 1 18 398 795 7	S-ORG O O O O O O O
The dispute pits Takemura , who founded Sakigake in 1993 as a reform-oriented LDP splinter group , against party official Yukio Hatoyama , who says he will leave Sakigake to form a reformist political group next month .	O O O S-PER O O O S-ORG O O O O O S-ORG O O O O O O B-PER E-PER O O O O O O S-ORG O O O O O O O O O
-- U.S. Municipal Desk , 212-859-1650	O B-ORG I-ORG E-ORG O O
, in the Peace River Valley reported 7.0 Celsius ( 44.6 F ) .	O O O B-LOC I-LOC E-LOC O O S-MISC O O S-MISC O O
Agents of the F.B.I. and the Bureau of Alcohol , Tobacco and Firearms were also at the scene , Jordan said .	O O O S-ORG O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O S-PER O O
SOCCER - FRENCH LEAGUE RESULTS .	O O S-MISC O O O
1. Chandra Sturrup ( Bahamas ) 11.34 seconds	O B-PER E-PER O S-LOC O O O
But play was finally suspended for the day when the storm continued .	O O O O O O O O O O O O O
The strikers barricaded streets , attacked the local office of the ruling Awami League , fought running battles with police and set alight hundreds of copies of the popular " Janakantha " newspaper , alleging it was pro-government .	O O O O O O O O O O O O B-ORG E-ORG O O O O O O O O O O O O O O O O S-ORG O O O O O O O O
15 - Gabriela Sabatini ( Argentina ) beat Ann Grossman ( U.S. ) 6-2 6 - 3	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O
Women 's 1,500 metres	O O O O
Prime Minister Costas Simitis will make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .	O O B-PER E-PER O O O O O O O O O O O O O O S-PER O
St Helens 21 19 0 2 884 441 38	B-ORG E-ORG O O O O O O O
SWP said it was analyzing potential partnerships with hog farmers and expected the first deal to be in place in 1997 .	S-ORG O O O O O O O O O O O O O O O O O O O O O
The way he was chipping and charging and serving and volleying I did n't really get my timing playing from the baseline . "	O O O O O O O O O O O O O O O O O O O O O O O O
15 equal .	O O O
Romania state budget soars in June .	S-LOC O O O O O O
Peter Hedblom ( Sweden ) 70 75 , Pedro Linhart ( Spain ) 72 73 ,	B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O O O O
The United States said the coup leaders had taken no steps to restore democracy and indiscriminate killings continued .	O B-LOC E-LOC O O O O O O O O O O O O O O O O
The study involved 115 people with high blood cholesterol levels .	O O O O O O O O O O O
The lanky Canadian broke Muster at 4-3 in the first set and 5-5 in the second before ending the match on his third match point when the Austrian hit a service return long .	O O S-MISC O S-PER O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O
But Basuki , her long black ponytail flying as she raced for shots , held her serve and twice had set point on Graf 's serve at 6-5 before the German unleashed a forehand pass to force the tie-break .	O S-PER O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O S-MISC O O O O O O O O O
Dutroux suspected in murder of Slovak woman .	S-PER O O O O S-MISC O O
- Mortgage lending rates are on the way up with banks and building societies poised to add around a quarter of a percentage point to their main variable rates of interest .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Borussia Dortmund 3 ( Riedle 8th minute , Heinrich 29th ,	B-ORG E-ORG O O S-PER O O O S-PER O O
Brad Clontz ( 6-2 ) picked up the win in relief for Atlanta , which has won 11 of its last 13 games .	B-PER E-PER O O O O O O O O O O S-LOC O O O O O O O O O O O
EASTERN DIVISION	B-MISC E-MISC
Announcement As of 08/26/96 .	O O O O O
Demel said the carmaker had hedged about half of its currency risk for 1996 .	S-PER O O O O O O O O O O O O O O
BALTIMORE 70 61 .534 4	S-ORG O O O O
soccer matches played over the weekend :	O O O O O O O
seeding ) :	O O O
Our answer is trust , compassion and respect , " she said .	O O O O O O O O O O O O O
EXERCISE PERIOD 02.SEP.96-21.NOV.97 PAYDATE 30.AUG.96	O O O O O
Belenenses 2 Boavista 4	S-ORG O S-ORG O
bowlers and the second Pakistani , after Imran Khan , to achieve	O O O O S-MISC O O B-PER E-PER O O O
S. Ganguly c de Silva b Dharmasena 16	B-PER E-PER O B-PER E-PER O S-PER O
But Filipovic said he would not quit under pressure . "	O S-PER O O O O O O O O O
Japan 74,600	S-LOC O
The agency did not say when the clashes took place .	O O O O O O O O O O O
JYVASKYLA , Finland 1996-08-25	S-LOC O S-LOC O
The boat was towed to the port city of Buenaventura .	O O O O O O O O O S-LOC O
NEW YORK 1996-08-26	B-LOC E-LOC O
5 - Thomas Enqvist ( Sweden ) beat Petr Korda ( Czech Republic )	O O B-PER E-PER O S-LOC O O B-PER E-PER O B-LOC E-LOC O
RE : $ 70,375,000	O O O O
Investigators said they still do not have enough evidence to determine whether a bomb , a missile or mechanical failure caused the crash .	O O O O O O O O O O O O O O O O O O O O O O O O
3. Johansson 236	O S-PER O
Zadar police said in a statement they had launched an investigation and were doing their best to find the perpetrators .	S-LOC O O O O O O O O O O O O O O O O O O O O
Borussia Moenchengladbach 1 ( Andersson 22nd ) Karlsruhe 3	B-ORG E-ORG O O S-PER O O S-ORG O
Newell 's Old Boys 0 Velez Sarsfield 2	B-ORG I-ORG I-ORG E-ORG O B-ORG E-ORG O
( Netherlands ) 15-11 18-14	O S-LOC O O O
-- Karachi newsroom 9221-5685192	O S-LOC O O
Fulham 3 2 0 1 4 3 6	S-ORG O O O O O O O
World championship standings ( after 11 of 12 rounds ) :	O O O O O O O O O O O
CINCINNATI 64 66 .492 5	S-ORG O O O O
Viktoria Plzen 2 0 2 0 2 2 2	B-ORG E-ORG O O O O O O O
The decree plugs a legal void in which magistrates could have forced the former prime minister to take one of the three stations he controls off the air because of a court ruling that no single proprietor should be allowed to keep three channels .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Cup Winners ' Cup x-Cercle Brugge ( Belgium ) v Brann Bergen ( Norway )	B-MISC I-MISC I-MISC E-MISC B-ORG E-ORG O S-LOC O O B-ORG E-ORG O S-LOC O
tennis tournament on Thursday ( prefix number denotes seeding ) :	O O O O O O O O O O O
California 12 NEW YORK 3	S-ORG O B-ORG E-ORG O
PARIS 1996-08-28	S-LOC O
Maakinen 's and Mitsubishi 's positions were strengthened by the late retirement of Spain 's Carlos Sainz when his Ford gearbox failed .	S-PER O O S-ORG O O O O O O O O O S-LOC O B-PER E-PER O O S-ORG O O O
FISCAL AGENT - Tokyo-Mitsubishi Bank	O O O B-ORG E-ORG
8. Lasse Lampi ( Finland ) Mitsubishi Lancer 12:01	O B-PER E-PER O S-LOC O B-MISC E-MISC O
LE TEMPS	B-ORG E-ORG
GERMAN GOVT BOND ( SEP ) 97.42 97.38 97.34	S-MISC O O O O O O O O
Under the revised version state spending is expected to rise by some 566 billion lei .	O O O O O O O O O O O O O O O O
AL-MUNTAR , West Bank 1996-08-26	S-LOC O B-LOC E-LOC O
Martin overcame Cedric Pioline of France 2-6 6-2 6-4 and O'Brien beat Mikael Tillstrom of Sweden 6-3 2-6 6-3 .	S-PER O B-PER E-PER O S-LOC O O O O S-PER O B-PER E-PER O S-LOC O O O O
PRETORIA , South Africa 1996-08-24	S-LOC O B-LOC E-LOC O
The TWA jet exploded in a deadly fireball last month , killing 230 people , crashing in the Atlantic Ocean at least 80 miles from where the debris was found Wednesday .	O S-ORG O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O O O O O O O O
Nigeria was suspended from the club of Britain and its former colonies in November after the hanging of nine minority rights activists for murder in spite of international pleas for clemency .	S-LOC O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O
TORONTO AT CHICAGO	S-ORG O S-LOC
Delegates to the commission from the other 10 provinces will be installed progressively from next week with the provinces of North and South Kivu , Maniema , Shaba and Bandundu having priority , he said .	O O O O O O O O O O O O O O O O O O O O S-LOC O B-LOC E-LOC O S-LOC O S-LOC O S-LOC O O O O O O
Fortuna Sittard 2 1 1 0 1 0 4	B-ORG E-ORG O O O O O O O
Instead on Friday he nominated all 23 Euro ' 96 veterans including Bremen 's Jens Todt , called up before the final by special UEFA dispensation .	O O O O O O O B-MISC I-MISC E-MISC O O S-ORG O B-PER E-PER O O O O O O O O S-ORG O O
BRASILIA 1996-08-29	S-LOC O
That resulted in general elections in March 1973 when the Peronists led by Hector Campora and Vicente Solano Lima returned to power .	O O O O O O O O O O S-ORG O O B-PER E-PER O B-PER I-PER E-PER O O O O
Fall of wickets : 1-4 2-57 3-186 4-217 5-217 .	O O O O O O O O O O
Rennes 3 1 0 2 4 6 3	S-ORG O O O O O O O
3. Michael Schumacher ( Germany ) 39	O B-PER E-PER O S-LOC O O
WASHINGTON 1996-08-22	S-LOC O
After a delayed opening , the stock was off 1-1/2 to 18-7/8 .	O O O O O O O O O O O O O
MANAMA 1996-08-22	S-LOC O
Williams ' hometown was not immediately available .	S-PER O O O O O O O
Now she feels she is in the swing of things .	O O O O O O O O O O O
Fifth-seed Iva Majoli of Croatia was picked off by Austrian Judith Wiesner and Wimbledon semifinalist Kimiko Date of Japan , the 10th seed , fell 6-2 7-5 to 53rd-ranked American Kimberly Po .	O B-PER E-PER O S-LOC O O O O S-MISC B-PER E-PER O S-MISC O B-PER E-PER O S-LOC O O O O O O O O O O S-MISC B-PER E-PER O
Women 's long jump :	O O O O O
Exceptional items nil	O O O
Decker 3-0-17-0 , Shah 2-0-18-0	S-PER O O S-PER O
Belga news agency reported that police checked more than 3,000 drivers amd booked 222 for speeding on their way home after the race .	S-ORG O O O O O O O O O O O O O O O O O O O O O O O
A budgeted profit increase of at least 20 percent for the full year currently appears very attainable , " News Corp said .	O O O O O O O O O O O O O O O O O O O B-ORG E-ORG O O
Lyon 3 1 1 1 4 4 4	S-ORG O O O O O O O
Most Spaniards would support government talks with the illegal Basque separatist group ETA if the rebels renounced violence permanently , a survey published in daily El Mundo on Saturday said .	O O O O O O O O O S-MISC O O S-ORG O O O O O O O O O O O O B-ORG E-ORG O O O O
Mayfair bogeyed the 17th , missing a five foot par putt , and dropped from solo second place to a three way tie for second .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O
Banks do not want to hold big U.S. dollar positions at this moment , " said one dealer , adding that the rate was likely to hover around current levels .	O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O
17 - Felix Mantilla ( Spain ) beat Fernando Meligeni ( Brazil ) 6-1 6 - 7 ( 2-7 ) 7-6 ( 7-5 ) 6-3	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O O O O O O O O
It did not provide details of KDP casualties and a PUK spokesman was not immediately available for comment .	O O O O O O S-ORG O O O S-ORG O O O O O O O O
San Diego 4 NEW YORK 3	B-ORG E-ORG O B-ORG E-ORG O
Better-than-expected British trade figures had little impact on equities .	O S-MISC O O O O O O O O
tax provision	O O
LE JOUR	B-ORG E-ORG
Bangladesh 's Criminal Investigation Department has charged two immigration officials in connection with Mia 's killing .	S-LOC O B-ORG I-ORG E-ORG O O O O O O O O S-PER O O O
The company said in a statement late on Wednesday it would conduct an enterprise assessment and strategic compliance plan for preparing all the mainframe systems of Life of Georgia and Southland Life to operate in the new century .	O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O B-ORG E-ORG O O O O O O O
Net foreign debt of the	O O O O O
RUGBY UNION - TELFER CONFIRMED FOR LIONS COACHING ROLE .	B-ORG E-ORG O S-PER O O S-ORG O O O
Watford 3 1 0 2 2 5 3	S-ORG O O O O O O O
NAFTEMBORIKI	O
BASEBALL - MAJOR LEAGUE RESULTS FRIDAY .	O O B-MISC E-MISC O O O
Cleveland 12 DETROIT 2	S-ORG O S-ORG O
It gave me more life in all of my pitches , so the ball moved more . "	O O O O O O O O O O O O O O O O O O
Monday brought the best out in U.S. Open rookie Aleksandra Olsza of Poland , ranked 110th .	O O O O O O B-MISC E-MISC O B-PER E-PER O S-LOC O O O O
The Ajax defender , who led the Netherlands into the quarter-finals at June 's European championship finals in England , had decided to devote his attention to playing for his Amsterdam club , Endt said .	O S-ORG O O O O O S-LOC O O O O O O S-MISC O O O S-LOC O O O O O O O O O O O S-LOC O O S-PER O O
Interacciones ups Mexico GDP forecast , lowers peso .	S-ORG O S-LOC O O O O O O
Johnson , who played eight seasons in Baltimore , was named Orioles manager in the off-season replacing Phil Regan .	S-PER O O O O O O S-LOC O O O S-ORG O O O O O B-PER E-PER O
Smicer 's goal was as hard-won as his team 's victory .	S-PER O O O O O O O O O O O
In Vinnytsya :	O S-LOC O
Later in the day , helped by the firmer Wall Street opening , Paris climbed back to the 2000 level but still remained well into negative territory .	O O O O O O O O O B-LOC E-LOC O O S-LOC O O O O O O O O O O O O O O
A knife-wielding neighbour apparently intent on sexual assault invaded a teenage slumber party on Friday , killing one girl and wounding three others , police said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Squad :	O O
A U.S.-led air force in southern Turkey protects Iraqi Kurds from possible attacks by Baghdad troops .	O S-MISC O O O O S-LOC O B-MISC E-MISC O O O O S-LOC O O
Jul-18.Jul	O
I asked for a day match and they gave me a night match , " he said . "	O O O O O O O O O O O O O O O O O O O
CHICAGO 64 65 .496 5	S-ORG O O O O
" At 24 , 25 or 26 you could get away with it , not having played first-team games .	O O O O O O O O O O O O O O O O O O O O
MILWAUKEE 64 70 .478 16 1/2	S-ORG O O O O O
Cup tennis tournament on Sunday ( prefix number denotes	S-MISC O O O O O O O O
Fortuna Sittard 3 1 1 1 3 4 4	B-ORG E-ORG O O O O O O O
Jamaican Commonwealth champion Michelle Freeman took second in 12.77 ahead of Cuban Aliuska Lopez .	S-MISC S-ORG O B-PER E-PER O O O O O O S-MISC B-PER E-PER O
Srutwa ( Ruch Chorzow ) , Emmanuel Tetteh ( Polonia Warszawa ) ,	S-PER O B-ORG E-ORG O O B-PER E-PER O B-ORG E-ORG O O
14. Rubens Barrichello ( Brazil ) Jordan 29	O B-PER E-PER O S-LOC O S-ORG O
At Headingley : Yorkshire 305-5 ( C. White 66 not out , M. Moxon	O S-LOC O S-ORG O O B-PER E-PER O O O O B-PER E-PER
FOR Bedi Bunder 9,800 8,800	O B-MISC E-MISC O O
However , he took a bronze medal in the Olympic road time-trial and then returned home to prepare for the world track series in the Manchester indoor velodrome .	O O O O O O O O O S-MISC O O O O O O O O O O O O O O O S-LOC O O O
TURKISH AIRPLANE LANDS IN SOFIA ON BOMB THREAT .	S-MISC O O O S-LOC O O O O
" Through the establishment of PULPEX , London will have a commodities bourse for forest products which complements existing bourses for oil , metals and ' softs ' ( coffee , sugar and cocoa ) , " OM said .	O O O O O S-ORG O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-ORG O O
WELLINGTON 1996-08-22	S-LOC O
3. Jeff Williams ( U.S. ) 20.21	O B-PER E-PER O S-LOC O O
Fortuna Duesseldorf 3 1 0 2 1 7 3	B-ORG E-ORG O O O O O O O
Varteks Varazdin win 5-1 on aggregate .	B-ORG E-ORG O O O O O
RUGBY LEAGUE - ST HELENS CLINCH SUPER LEAGUE TITLE .	B-MISC E-MISC O B-ORG E-ORG O O O O O
As of Monday , 31 children were still hospitalised in Sakai city , of whom six were in serious condition .	O O O O O O O O O O S-LOC O O O O O O O O O O
Allensbach May 15 38.5 32.5 8.1 12.0 4.4	S-ORG O O O O O O O
7. Norihiko Fujiwara ( Japan ) Yamaha 38:43.253	O B-PER E-PER O S-LOC O S-ORG O
Ijaz Ahmed c Stewart b Mullally 61	B-PER E-PER O S-PER O S-PER O
India has also pledged to oppose any forwarding of the draft treaty to the United Nations General Assembly .	S-LOC O O O O O O O O O O O O O B-ORG I-ORG I-ORG E-ORG O
3 - Anto Drobnjak ( Bastia ) , Xavier Gravelaine ( Marseille ) .	O O B-PER E-PER O S-ORG O O B-PER E-PER O S-ORG O O
FOR Bombay 9,800 8,800	O S-MISC O O
Biogen , in its Securities and Exchange Commission quarterly report for the period ending June 30 , said it had earned $ 6.1 million from Avonex sales during the drugs first six weeks on the market .	S-ORG O O O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O
-- Helsinki Newsroom +358 - 0 - 680 50 245	O B-ORG E-ORG O O O O O O O
These are leading stories in Thursday 's afternoon daily Le Monde , dated Aug 23 .	O O O O O O O O O B-ORG E-ORG O O O O O
out , W. Khan 52 ; R. Illingworth 4-54 , S. Lampitt 4-90 ) .	O O B-PER E-PER O O B-PER E-PER O O B-PER E-PER O O O
round of the $ 2.1 million NEC World Series of Golf at	O O O O O O B-MISC I-MISC I-MISC I-MISC E-MISC O
Raith 0 Motherwell 3	S-ORG O S-ORG O
The reorganization plan calls for all secured claims to be paid in full .	O O O O O O O O O O O O O O
Werder Bremen 3 0 1 2 4 6 1	B-ORG E-ORG O O O O O O O
We 've got to make up some ground . "	O O O O O O O O O O
MANCHESTER , England 1996-08-28	S-LOC O S-LOC O
Wasim , who promoted himself to number four in the order , followed for six when Croft drifted another well-flighted delivery behind his legs .	S-PER O O O O O O O O O O O O O O O S-PER O O O O O O O O
Ord div 10.00 yen 10.00 yen	O O O O O O
Sir Mark Prescott landed his first group one victory in 25 years as a trainer when his top sprinter Pivotal , a 100-30 chance , won the Nunthorpe Stakes on Thursday .	O B-PER E-PER O O O O O O O O O O O O O O O O S-PER O O O O O O O B-MISC E-MISC O O O
Division B	O O
KHARTOUM 1996-08-24	S-LOC O
delivered to consumer	O O O
Dow pushes London stocks to new record .	S-MISC O S-LOC O O O O O
HOUSTON 5 Chicago 4 ( 11 innings )	S-ORG O S-ORG O O O O O
The French procedure was expected to be completed before October 2 , when the National Assembly is to reconvene after a summer break , but the European procedure was expected to take longer .	O S-MISC O O O O O O O O O O O O B-ORG E-ORG O O O O O O O O O O S-MISC O O O O O O O
Two Thai border police wounded by Burma gunmen .	O S-MISC O O O O S-LOC O O
Illawarra 21 8 0 13 395 432 16	S-ORG O O O O O O O
The applications are being " fast-tracked in the sense that we are processing them and the ones who have been referred to us have been interviewed , " the newspaper quoted Garrett Lambert , Canada 's high commissioner in Hong Kong , as saying .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O S-LOC O O O O B-LOC E-LOC O O O O
Zaire installs first election delegates .	S-LOC O O O O O
Thai Prime Minister Banharn Silpa-archa on Monday proposed September 18 as the date for parliamentary debate on an opposition no-confidence motion accusing him of incompetence .	S-MISC O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O
soccer matches on Friday :	O O O O O
Second round	O O
MANCHESTER , England 1996-08-30	S-LOC O S-LOC O
5. Colin Edwards ( U.S. ) Yamaha 176	O B-PER E-PER O S-LOC O S-ORG O
UES officials said last week the board had not yet approved the final version of its application to the U.S. Securities and Exchange Commission to issue ADRs .	S-ORG O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG E-ORG O O S-MISC O
Sales confirmed week to date on 4,200 head , mostly previously contracted or formulated cattle .	O O O O O O O O O O O O O O O O
Attendance : 9,000	O O O
Sgt .	O O
The two also agreed to set up joint patrols in Grozny , but Goncharova said she was sceptical about whether this could work .	O O O O O O O O O O S-LOC O O S-PER O O O O O O O O O O
Attendance 16,000 .	O O O
Els Callens ( Belgium ) beat Nicole Bradtke ( Australia ) 7-6 ( 7-1 ) 7-6 ( 9-7 )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O O O O
He said Ibrahim was still in Amman .	O O S-PER O O O S-LOC O
I have much less fun off the court .	O O O O O O O O O
It was another stunning mid-season acquisition for the Braves , who already have an 11-game lead in the National League Eastern Division .	O O O O O O O O S-ORG O O O O O O O O O B-MISC I-MISC I-MISC E-MISC O
PARIS 1996-08-23	S-LOC O
But Wijffels was unable to quantify second half investment to improve and extend domestic and offshore services .	O S-PER O O O O O O O O O O O O O O O O
UNITED NATIONS 1996-08-28	B-ORG E-ORG O
" I still feel it 's embarrassing what happened and I was about to pull out yesterday and say , ' That 's it , ' " said Stich , one of a host of men who cried foul over seeding procedures that forced an unprecedented remaking of the men 's draw last week .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O
TIRANA 1996-08-24	S-LOC O
HAARLEM , Netherlands 1996-08-27	S-LOC O S-LOC O
matches in the Brazilian soccer championship .	O O O S-MISC O O O
" We are still eager that nothing should affect the Sudanese people but we will not deal with the current regime or the Turabi front or whatever , " Mubarak told a group of academics .	O O O O O O O O O O S-MISC O O O O O O O O O O O O S-PER O O O O O S-PER O O O O O O
6. Endrio Leoni ( Italy ) Aki	O B-PER E-PER O S-LOC O S-PER
J. Crawley c Aamir Sohail b Wasim Akram 19	B-PER E-PER O B-PER E-PER O B-PER E-PER O
Neither Meri , who oversaw Estonia 's first steps into statehood after the collapse of the Soviet Union , nor his arch-rival , former communist Arnold Ruutel , have secured the 68 votes necessary from the 101-member parliament .	O S-PER O O O S-LOC O O O O O O O O O O B-LOC E-LOC O O O O O O O B-PER E-PER O O O O O O O O O O O O
- Government asks senior Iraqi " diplomat " to leave , reviews status of others .	O O O O S-MISC O O O O O O O O O O O
The consortium , made up of eight financial institutions , offered an annual interest rate of 8.46 percent for both issues , he said .	O O O O O O O O O O O O O O O O O O O O O O O O O
-- Government defends " hard drachma " policy , says it will continue unchanged after the elections	O O O O O O O O O O O O O O O O O
Lupu is one of the tallest players in Romania 's first division , towering over Cozma by some 17 cms ,	S-PER O O O O O O O S-LOC O O O O O O S-PER O O O O O
U.S. boy , 13 , accused of murdering adoptive mother .	S-LOC O O O O O O O O O O
MAPUTO 1996-08-26	S-LOC O
Ford had a poor morning with Spaniard Carlos Sainz losing 90 seconds through turbo trouble while Belgian Bruno Thiry dropped four minutes when a transmission shaft snapped .	S-ORG O O O O O S-MISC B-PER E-PER O O O O O O O S-MISC B-PER E-PER O O O O O O O O O
Australia won the toss and decided to bat against Zimbabwe in the first day-night limited overs match of the Singer World Series tournament on Monday .	S-LOC O O O O O O O O S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O O
He said former PSG team mate David Ginola , who now plays for English premier league Newcastle , was influential in his move to Scotland .	O O O S-ORG O O B-PER E-PER O O O O O S-MISC O O S-ORG O O O O O O O S-LOC O
EASTERN DIVISION	B-MISC E-MISC
67 67 , Francisco Cea ( Spain ) 68 66	O O O B-PER E-PER O S-LOC O O O
Halftime 1-1 .	O O O
A few years ago , barter deals accounted for up to 25-30 percent of Russian exports because " thousands ( of ) trade companies which popped up preferred barter in the absence of reliable Russian banks and money transfer systems " , Volkova said .	O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O O S-PER O O
SHATOI , Russia 1996-08-25	S-LOC O S-LOC O
4. Dionne Rose ( Jamaica ) 12.88	O B-PER E-PER O S-LOC O O
The budget deficit was A$ 10.3 billion in 1995/96 .	O O O O S-MISC O O O O O
Goias 3 Sport Recife 1	S-ORG O B-ORG E-ORG O
The company did not declare an interim dividend as in the previous year .	O O O O O O O O O O O O O O
Interfax quoted Russian military command in Chechnya as saying that about 200 interior ministry forces , sent on reconaisance mission , clashed with rebels at Minutka Square .	S-ORG O S-MISC O O O S-LOC O O O O O B-ORG E-ORG O O O O O O O O O O O B-LOC E-LOC O
LAS CRUCES , N.M. 1996-08-22	B-LOC E-LOC O O O
